terminal_case,epsilon_um,start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
T0,0,4.233,MYOPIC,2,2,3.873,0.36,68.17905149359025,DESTROYING,3.513,1,CONTINUE,
T0,0,4.233,MYOPIC,3,1,3.513,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.234,MYOPIC,1,3,4.234,0.36,50.84011862968941,PRESERVING,3.874,2,CONTINUE,
T0,0,4.234,MYOPIC,2,2,3.874,0.36,68.12086169460318,DESTROYING,3.514,1,CONTINUE,
T0,0,4.234,MYOPIC,3,1,3.514,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.235,MYOPIC,1,3,4.235,0.36,50.80076869441637,PRESERVING,3.875,2,CONTINUE,
T0,0,4.235,MYOPIC,2,2,3.875,0.36,68.06273809561046,DESTROYING,3.515,1,CONTINUE,
T0,0,4.235,MYOPIC,3,1,3.515,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.236,MYOPIC,1,3,4.236,0.36,50.761459357475125,PRESERVING,3.876,2,CONTINUE,
T0,0,4.236,MYOPIC,2,2,3.876,0.36,68.00468060249787,DESTROYING,3.516,1,CONTINUE,
T0,0,4.236,MYOPIC,3,1,3.516,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.237,MYOPIC,1,3,4.237,0.36,50.72219056652126,PRESERVING,3.877,2,CONTINUE,
T0,0,4.237,MYOPIC,2,2,3.877,0.36,67.9466891213116,DESTROYING,3.517,1,CONTINUE,
T0,0,4.237,MYOPIC,3,1,3.517,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.238,MYOPIC,1,3,4.238,0.36,50.68296226929129,PRESERVING,3.878,2,CONTINUE,
T0,0,4.238,MYOPIC,2,2,3.878,0.36,67.88876355825805,DESTROYING,3.518,1,CONTINUE,
T0,0,4.238,MYOPIC,3,1,3.518,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.239,MYOPIC,1,3,4.239,0.36,50.64377441360266,PRESERVING,3.879,2,CONTINUE,
T0,0,4.239,MYOPIC,2,2,3.879,0.36,67.83090381970355,DESTROYING,3.519,1,CONTINUE,
T0,0,4.239,MYOPIC,3,1,3.519,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.24,MYOPIC,1,3,4.24,0.36,50.604626947353346,PRESERVING,3.88,2,CONTINUE,
T0,0,4.24,MYOPIC,2,2,3.88,0.36,67.77310981217397,DESTROYING,3.52,1,CONTINUE,
T0,0,4.24,MYOPIC,3,1,3.52,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.241,MYOPIC,1,3,4.241,0.36,50.56551981852196,PRESERVING,3.881,2,CONTINUE,
T0,0,4.241,MYOPIC,2,2,3.881,0.36,67.71538144235436,DESTROYING,3.521,1,CONTINUE,
T0,0,4.241,MYOPIC,3,1,3.521,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.242,MYOPIC,1,3,4.242,0.36,50.526452975167395,PRESERVING,3.882,2,CONTINUE,
T0,0,4.242,MYOPIC,2,2,3.882,0.36,67.65771861708876,DESTROYING,3.522,1,CONTINUE,
T0,0,4.242,MYOPIC,3,1,3.522,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.243,MYOPIC,1,3,4.243,0.36,50.487426365428945,PRESERVING,3.883,2,CONTINUE,
T0,0,4.243,MYOPIC,2,2,3.883,0.36,67.60012124337977,DESTROYING,3.523,1,CONTINUE,
T0,0,4.243,MYOPIC,3,1,3.523,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.244,MYOPIC,1,3,4.244,0.36,50.44843993752582,PRESERVING,3.884,2,CONTINUE,
T0,0,4.244,MYOPIC,2,2,3.884,0.36,67.54258922838837,DESTROYING,3.524,1,CONTINUE,
T0,0,4.244,MYOPIC,3,1,3.524,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.245,MYOPIC,1,3,4.245,0.36,50.40949363975729,PRESERVING,3.885,2,CONTINUE,
T0,0,4.245,MYOPIC,2,2,3.885,0.36,67.48512247943339,DESTROYING,3.525,1,CONTINUE,
T0,0,4.245,MYOPIC,3,1,3.525,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.246,MYOPIC,1,3,4.246,0.36,50.37058742050237,PRESERVING,3.886,2,CONTINUE,
T0,0,4.246,MYOPIC,2,2,3.886,0.36,67.42772090399144,DESTROYING,3.526,1,CONTINUE,
T0,0,4.246,MYOPIC,3,1,3.526,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.247,MYOPIC,1,3,4.247,0.36,50.3317212282198,PRESERVING,3.887,2,CONTINUE,
T0,0,4.247,MYOPIC,2,2,3.887,0.36,67.37038440969644,DESTROYING,3.527,1,CONTINUE,
T0,0,4.247,MYOPIC,3,1,3.527,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.248,MYOPIC,1,3,4.248,0.36,50.29289501144779,PRESERVING,3.888,2,CONTINUE,
T0,0,4.248,MYOPIC,2,2,3.888,0.36,67.3131129043393,DESTROYING,3.528,1,CONTINUE,
T0,0,4.248,MYOPIC,3,1,3.528,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.249,MYOPIC,1,3,4.249,0.36,50.25410871880395,PRESERVING,3.889,2,CONTINUE,
T0,0,4.249,MYOPIC,2,2,3.889,0.36,67.25590629586777,DESTROYING,3.529,1,CONTINUE,
T0,0,4.249,MYOPIC,3,1,3.529,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.25,MYOPIC,1,3,4.25,0.36,50.215362298985056,PRESERVING,3.89,2,CONTINUE,
T0,0,4.25,MYOPIC,2,2,3.89,0.36,67.19876449238593,DESTROYING,3.53,1,CONTINUE,
T0,0,4.25,MYOPIC,3,1,3.53,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.251,MYOPIC,1,3,4.251,0.36,50.17665570076711,PRESERVING,3.891,2,CONTINUE,
T0,0,4.251,MYOPIC,2,2,3.891,0.36,67.14168740215395,DESTROYING,3.531,1,CONTINUE,
T0,0,4.251,MYOPIC,3,1,3.531,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.252,MYOPIC,1,3,4.252,0.36,50.13798887300495,PRESERVING,3.892,2,CONTINUE,
T0,0,4.252,MYOPIC,2,2,3.892,0.36,67.08467493358792,DESTROYING,3.532,1,CONTINUE,
T0,0,4.252,MYOPIC,3,1,3.532,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.253,MYOPIC,1,3,4.253,0.36,50.09936176463223,PRESERVING,3.893,2,CONTINUE,
T0,0,4.253,MYOPIC,2,2,3.893,0.36,67.02772699525933,DESTROYING,3.533,1,CONTINUE,
T0,0,4.253,MYOPIC,3,1,3.533,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.254,MYOPIC,1,3,4.254,0.36,50.06077432466129,PRESERVING,3.894,2,CONTINUE,
T0,0,4.254,MYOPIC,2,2,3.894,0.36,66.97084349589481,DESTROYING,3.534,1,CONTINUE,
T0,0,4.254,MYOPIC,3,1,3.534,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.255,MYOPIC,1,3,4.255,0.36,50.02222650218303,PRESERVING,3.895,2,CONTINUE,
T0,0,4.255,MYOPIC,2,2,3.895,0.36,66.91402434437595,DESTROYING,3.535,1,CONTINUE,
T0,0,4.255,MYOPIC,3,1,3.535,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.256,MYOPIC,1,3,4.256,0.36,49.983718246366685,PRESERVING,3.896,2,CONTINUE,
T0,0,4.256,MYOPIC,2,2,3.896,0.36,66.85726944973891,DESTROYING,3.536,1,CONTINUE,
T0,0,4.256,MYOPIC,3,1,3.536,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.257,MYOPIC,1,3,4.257,0.36,49.94524950645972,PRESERVING,3.897,2,CONTINUE,
T0,0,4.257,MYOPIC,2,2,3.897,0.36,66.80057872117408,DESTROYING,3.537,1,CONTINUE,
T0,0,4.257,MYOPIC,3,1,3.537,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.258,MYOPIC,1,3,4.258,0.36,49.906820231787734,PRESERVING,3.898,2,CONTINUE,
T0,0,4.258,MYOPIC,2,2,3.898,0.36,66.74395206802579,DESTROYING,3.538,1,CONTINUE,
T0,0,4.258,MYOPIC,3,1,3.538,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.259,MYOPIC,1,3,4.259,0.36,49.86843037175427,PRESERVING,3.899,2,CONTINUE,
T0,0,4.259,MYOPIC,2,2,3.899,0.36,66.68738939979204,DESTROYING,3.539,1,CONTINUE,
T0,0,4.259,MYOPIC,3,1,3.539,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.26,MYOPIC,1,3,4.26,0.36,49.83007987584073,PRESERVING,3.9,2,CONTINUE,
